"bea_code","bea_cause","bea_action"
281032,"Forwarding Resume request has been issued for the specified remote endpoint.","No action required."
281031,"Forwarding Pause request has been issued for the specified remote endpoint.","No action required."
281030,"Incoming Resume request has been issued for the specified remote endpoint.","No action required."
281029,"Incoming Pause request has been issued for the specified remote endpoint.","No action required."
281028,"Forwarding Resume request has been issued for the specified SAFAgent.","No action required."
281027,"Forwarding Pause request has been issued for the specified SAFAgent.","No action required."
281026,"Incoming Message Resume request has been issued for the specified SAFAgent.","No action required."
281025,"Incoming Message Pause request has been issued for the specified SAFAgent.","No action required."
281024,"The threshold was exceeded","Verify that messages are being forwarded and sufficient memory is available"
281023,"The threshold was exceeded","Verify that messages are being forwarded and sufficient memory is available"
281022,"Error in the configration, or internal errors.","Check the agents configuration and contact Oracle Customer Support."
281021,"This is either due to a configuration error, or a network failure, or the remote endpoint is temporarily unavailable.","Check configuration, network connection, or the remote endpoint."
281020,"Nothing.","No action required."
281019,"This is an informational message.","No action required."
281018,"This is an informational message.","No action required."
281017,"This is an informational message.","No action required."
281016,"This is an informational message.","No action required."
281015,"Configuration error.","Modify the configuration and restart the server."
281014,"Configuration error.","Modify the configuration and restart the servers in the cluster."
281013,"Internal error.","Contact Oracle Customer Support."
281012,"Error in the configration, or internal errors.","Check the agents configuration and contact Oracle Customer Support."
281011,"Error in the configration, or internal errors.","Check the agents configuration and contact Oracle Customer Support."
281010,"This is an info message.","No action required."
281009,"This is an info message.","No action required."
281008,"This is an info message.","No action required."
281007,"This is an info message.","No action required."
281006,"A message has been expired before it is successfully forwarded by SAF agent, and there is no error handling policy configured for the endpoint, so we log the message id in the server log.","No action required."
281005,"This is an info message.","No action required."
281004,"This is an info message.","No action required."
281003,"This is an info message.","No action required. None"
281002,"This is an info message.","No action required."
281001,"Debugging - please do not change.","No action required."
281000,"Debugging - please do not change.","No action required."
280108,"Programming error.","Ensure that the correct record ID was specified."
280107,"Programming error.","Ensure that the correct record ID was specified."
280106,"See message body.","Consult your storage vendor and OS documentation."
280105,"An IOException.","No action required."
280104,"Direct IO requires the block size to be a multiple of directIO granularity.","Reconfigure the store with a block size that is a multiple of the direct IO aligment for your environment. If the store is not empty and contains useful data, use the store admin compact utility to change block size, otherwise make sure that all store files are removed before starting WLS again."
280103,"Informational message.","No action required."
280102,"The cache file is missing, or the signature stored in the cache file does not match the signature of the primary file.","Make sure that the configuration is correct, do not delete cache files, and ensure a clean shutdown."
280101,"See message body.","No action required."
280100,"No information available.","No information available."
280099,"No information available.","No information available."
280098,"No information available.","Check the Javadoc for the valid formats of Long system properties: http://java.sun.com/j2se/1.5.0/docs/api/java/lang/Long.html#decode(java.lang.String)."
280097,"No information available.","See message body."
280096,"No information available.","Use a valid direct IO mode. The valid values are: ""read-buffered"", ""single-handle-unbuffered"", and ""single-handle-buffered""."
280095,"No information available.","Check Oracle Weblogic JMS Performance Guide for details of this setting."
280094,"No information available.","Check Oracle Weblogic JMS Performance Guide for details of this setting."
280093,"No information available.","Check Oracle Weblogic JMS Performance Guide for details of this setting."
280092,"No information available.","Check the Javadoc for the valid formats of Integer system properties: http://java.sun.com/j2se/1.5.0/docs/api/java/lang/Integer.html#decode(java.lang.String)."
280091,"No information available.","No information available."
280090,"No information available.","No information available."
280089,"No information available.","No information available."
280088,"No information available.","No information available."
280087,"No information available.","No information available."
280086,"No information available.","No information available."
280085,"No information available.","No information available."
280084,"No information available.","No information available."
280083,"No information available.","No information available."
280082,"No information available.","No information available."
280081,"No information available.","No information available."
280080,"No information available.","No information available."
280079,"No information available.","No information available."
280078,"Programming error.","Ensure that the correct connection was used"
280077,"Some other WebLogic server process or JDBC store has ownership of the database table.","The error message has information to identify and resolve the owners in conflict."
280076,"Some other WebLogic server process or JDBC store has ownership of the database table.","The warning message has information to identify the current owner of the database table. If the current owner does not yield ownership within some time, this server will not be able to open the JDBC store and will log an error."
280075,"Some other WebLogic server process or JDBC store has taken over ownership of the database table, or some database access error prevented this JDBC store from renewing ownership of the database table.","The error message has information to identify potential owners in conflict."
280074,"There was a serious I/O error, either with file I/O or the JDBC connection to the database, or an unexpected exception was thrown while processing a transaction.","Restart the server."
280073,"The file store has not been properly upgraded from a previous version of WebLogic Server, or the file has been corrupted on the disk.","Ensure that the file store was upgraded using the weblogic.Upgrade tool."
280072,"See linked exception.","See linked exception."
280071,"A JDBC store booted.","None."
280070,"The configured file is located in the server file path.","For supported databases consider the option of not configuring a custom DDL file, there is usually no need to configure a custom DDL file unless custom database specific tuning commands have been added to the file. If a DDL file must be configured (perhaps because it is for an unsupported database), ensure that the configured file is located either in the server file path or server class path."
280069,"See exception text and exception stack trace.","See exception text and exception stack trace."
280068,"See linked exception text and linked exception stack trace.","See linked exception text and linked exception stack trace."
280067,"The JDBC store did not find its backing table, so it created one.","None."
280066,"Configuration error.","Make sure the entire table reference is blank, or that the table field is not blank. If there is no schema, make sure there are no periods ""."" in the table reference. Do not start the table reference with a period ""."". Note that JDBC stores automatically append ""WLStore"" to table references."
280065,"See exception text, and linked exception text.","See exception text, and linked exception text."
280064,"See exception text, and linked exception (if one exists).","See exception text, and linked exception (if one exists)."
280063,"Configuration error.","When configuring a table name, choose a shorter name for the indicated field. Note that JDBC stores automatically append ""WLStore"" to the table name."
280062,"See detail message.","See detail message."
280061,"See detail message.","See detail message."
280060,"There was a serious I/O error, either with file I/O or the JDBC connection to the database.","Restart the server."
280059,"Programming error.","Fix the code and try again."
280058,"Programming error.","Fix the code and try again."
280057,"Programming error.","Fix the code and try again."
280056,"See the description of the underlying exception.","See the description of the underlying exception"
280055,"Internal Error.","Contact product support."
280054,"Internal Error.","Contact product support."
280053,"Internal Error.","Contact product support."
280052,"Internal Error.","Contact product support."
280051,"Internal Error.","Contact product support."
280050,"Normal operation.","No action required."
280049,"Configuration error.","Reduce the maximum extent size and try again."
280048,"This may happen from time to time when the server is restarted after a catastrophic failure. In that case, the server will recover and its data will remain consistent.","Ensure hard-drive is not failing. Also ensure only one open JMS store has access to the file. Ensure no other process is writing to the file. Note that corrupted blocks are zeroed out and re-used by the JMS store after this log message is printed."
280047,"The specified operating system or filesystem may not be adequate for the requirements of WebLogic Server.","Contact product support."
280046,"The file permissions are incorrect, or the server is running under the wrong user ID.","Fix the file permissions or run the server under the correct user ID."
280045,"The directory has not yet been created, or its filesystem is not available.","Check that the directory path has been correctly specified, remove any file or directory that already exists in its place, and create the directory if necessary."
280044,"The directory has not yet been created, or its filesystem is not available.","Check that the directory path has been correctly specified, and create the directory if necessary."
280043,"Internal programming error.","Contact product support."
280042,"A directory was accidentially created in the file store's own main or cache directory, or the path specified is incorrect.","Check that the file store's path is correct."
280041,"The store file may have been used with an incompatible version of WebLogic Server.","Restore from backup."
280040,"The store file has been corrupted, possibly by a hardware or O/S error.","Change the DirectIOMode or restore from backup if the problem persists."
280039,"Programming error.","Fix the code and try again."
280038,"See the detail message.","See the detail message."
280037,"There are too many records in the store.","Delete data from the store and try again."
280036,"The file has been accidentially deleted or moved, or the wrong directory name was specified, or the server process does not have permissions to read and write the file.","Ensure that the directory name is correct and that the server process has permissions to read and write the files. If necessary, create an empty file with the same name."
280035,"See the detail message.","Check that the specified path name is correct, that it exists, and that the directory is readable and writeable by the server's user ID."
280034,"Normal operation.","No action required."
280033,"Normal operation.","No action required."
280032,"A fatal error occurred previously.","Restart the server."
280031,"Programming error.","Fix the code and try again."
280030,"Programming error.","Fix the code and try again."
280029,"Programming error.","Ensure that the correct record ID was specified."
280028,"Programming error.","Fix the code and try again."
280027,"The file was created incorrectly, or the specified file is not the correct file.","Fix the file and re-start the server."
280026,"The file permissions are incorrect, or the server is running under the wrong user ID.","Fix the file permissions or run the server under the correct user ID."
280025,"Programming error.","Fix the code and try again."
280024,"See the detail message. The disk may be full, or there may be a hardware or O/S problem.","Ensure that there is enough disk space and that the hardware and O/S are working properly."
280023,"There may be a hardware or O/S problem.","No action required. The server will recover from this error."
280022,"The file was created by another program, or it was corrupted.","Ensure that the file's directory name is correctly specified, and that the O/S and hardware are functioning properly. Remove the file and restart the server."
280021,"The specified file does not exist, or the server does not have permissions to open the file, or there is a hardware or O/S problem.","Ensure that the file exists and that the directory name was specified correctly."
280020,"See the detail message for the cause.","Ensure that the hardware and O/S are functioning properly and that all the persistent store''s files are available on line."
280019,"See the detail message for the cause.","Ensure that the hardware and O/S are functioning properly and that there is enough disk space available for the file store''s files."
280018,"Programming error.","Fix the code and try again."
280017,"Either a file was accidentially deleted or moved, or there is an I/O problem in the hardware or software.","Check the detail message, and double-check that the persistent store directory was correctly specified."
280016,"Either the directory is not available, or there is a hardware failure. Check the detail message for more information.","Check that the persistent store directory is available and that the hardware is working."
280015,"Either ""flush"" has not yet been called, or the caller specified an invalid LSN.","Check the code and try again."
280014,"Programming error.","Fix the code and try again."
280013,"Programming error.","Either change the code or increase the size of the record."
280012,"Programming error.","Check the code and try again."
280011,"Programming error.","Check the code and try again."
280010,"Programming error.","Check the code and try again."
280009,"Informational message.","No action required."
280008,"Informational message.","No action required."
280007,"There could have been a hardware or operating system problem that caused the log to be corrupted, or there may be a version mismatch of the server running against the log.","Ensure that the hardware is functioning properly, that all the environment variables are set correctly, and that no other process is running that could be accessing the log. Restart the server."
280006,"See the detail message.","Ensure that all the store files are available on line and that the disk is not full, then restart the server."
280005,"The disk may be full, or there may be another problem with the heap file itself.","Check that there is sufficient disk space and that all the files that make up the persistent store are available on-line. The server should continue to function in the meantime."
280004,"There may be a problem with the disk hardware, or the disk(s) where the store keeps its log and data files may be full.","Check that the hardware is functioning and that there is sufficient disk space. The server should continue to function in the meantime."
280003,"Internal error.","Contact product support."
280002,"The disk may be full or there may be a hardware problem.","Check that there is enough disk space available in the store directory."
280001,"The number of objects held in the persistent store has increased and it is necessary to allocate more disk space for their storage.","No action required."
280000,"Debug message.","No action required."
270002,"Refer to the embedded exception information for more details as to the probable cause of this error.","Take action based upon provided exception details."
270001,"Refer to the embedded exception information for more details as to the probable cause of this error.","Take action based upon provided exception details."
270000,"Refer to the embedded exception information for more details as to the probable cause of this error.","Take action based upon provided exception details."
260142,"The descriptor is unknown.","None."
260141,"An attempt to reinitialize this object by calling either inspect() or initializeConfiguration() was made without first calling close(). This SessionHelper object is stateful and must be properly closed by calling close().","An attempt to reinitialize this object by calling either inspect() or initializeConfiguration() was made without first calling close(). This SessionHelper object is stateful and must be properly closed by calling close(). Call close() on the SessionHelper instance, and avoid reusing the same instance."
260140,"Unable to remove descriptor bean name due to msg. The remover should first check to see if the bean is removable in the deployment plan prior to removing it.","Unable to remove descriptor bean name due to msg. The remover should first check to see if the bean is removable in the deployment plan prior to removing it."
260139,"Unchanged plan.xml was restored due to problems updating new plan msg.","Unchanged plan.xml was restored due to problems updating new plan msg."
260138,"Failures were detected while trying to create a backup plan.xml file at 'planBackup' msg.","Failures were detected while trying to create a backup plan.xml file at 'planBackup' msg."
260137,"Failures were detected while restoring original plan file msg. The current plan may not reflect the accurate state of the application. Either attempt to update the application again with the current plan, or make use of the backup plan 'backupPlan'.","Either attempt to update the application again with the current plan, or make use of the backup plan 'backupPlan'."
260136,"The application has library references which could not be merged into the application.","Ensure referenced libraries are available"
260135,"No TargetModuleID objects were provided","Resolve client programming error"
260134,"Insufficient information was provided to identify the application to deploy.","Resolve client programming error."
260133,"The descriptor is invalid",None
260132,"'name1' is not a child of 'name2'.","Check for preceding conflict start message in the logs. Try to avoid the conflict by taking one of the suggested actions. If the problem persists, contact Oracle Customer Support and provide the stack trace for further analysis."
260131,"Attempted to create a deployment manager without providing an appropriate deployer uri.","Provide a deployer uri."
260130,"An internal error occurred","Allocate a new DeploymentManager"
260129,"Attempted to export a DTD based descriptor","Upgrade the application with schema based descriptors."
260128,"A property in a DTD based descriptor was modified.","Upgrade the application with schema based descriptors."
260127,"An application version was specified in the deployment options, but the application defines its own version.","Do not specify version"
260126,"A plan version was specified in the deployment options, but the plan defines its own version.","Do not specify version"
260125,"Depends on the specific error. The associated exception will nest the root exception.","Depends om specific error."
260124,"No targets specified","None required"
260123,"No targets specified for new deployment","Specify targets"
260122,"Starting a deployment operation.",none
260121,"Starting a deployment operation.",none
260120,"The client could not establish a connection with the domain admin server","Depends on specific error"
260119,"User error","Resolve client programming error"
260118,"Invalid Target list","Resolve client programming error"
260117,"Factory not in class path","Ensure factory is in classpath"
260116,"SessionHelper.initialize() not yet invoked","Resolve client programming error"
260115,"No application specified","Resolve client programming error"
260114,"Invalid root directory specified.","Resolve client programming error"
260113,"Plan at 'plan' is a directory.","Resolve client programming error"
260112,"No TargetModuleID objects were provided","Resolve client programming error"
260111,"Depends on the specific error. The associated exception will nest the root exception.","Depends om specific error."
260110,"The configuration artifacts for the application could not be processed. This could result from simple access errors, descriptor parsing failures or basic application architecture problems.","Depends om specific error. The configuration artifacts for the application could not be processed. This could result from simple access errors, descriptor parsing failures or basic application architecture problems."
260109,"An IO error prevented the save operation or the plan is missing some required elements.","Depends om specific error."
260108,"An IO or parse error prevented the restore operation.","Depends om specific error."
260107,"An IO error prevented the save operation or the descriptor is missing some required elements.","Depends om specific error."
260106,"The descriptor is not valid","Ensure application is accessible and contains valid descriptors."
260105,"Unable to access or parse descriptor for module.","Ensure application is accessible and contains valid descriptors."
260104,"One of the properties is not changable","Remove property from list"
260103,"An attempt was made to export bean properties against the wrong DConfigBeanRoot object","Invoke export on the correct DConfigBeanRoot"
260102,"Invalid argument","Use a valid export type"
260101,"A null parameter was passed to the method.","Resolve client programming error"
260100,"An unrecognized security model was requested.","Use a valid security model"
260099,"Invalid descriptor provided for module","Either wrong descriptor specified or module type is incorrect"
260098,"The module type is not registered with a configurable descriptor","Register non-standard descriptors using the weblogic-extension.xml descriptor."
260097,"The model API is not providing expected information","Resolve API problems in class implementing javax.enterprise.deploy.model.DDBeanRoot"
260096,"The archive does not contain standard descriptors.","Ensure correct file was passed into the deployment operation."
260095,"The attempt to name the file with the appropriate extension failed","None required"
260094,"The weblogic-extensions descriptor specified custom configuration descriptor support","None required."
260093,"Module type information cannot be derived from information in the provided plan or by inspecting the application archive.","Provide a valid plan when distributing the application."
260092,"Wrong type or application specified.","Dont specify module type; let system derive from application structure."
260091,"Depends on error in message","None required."
260090,"Wrong constructor used.","Use WebLogicJ2eeApplicationObject to describe EARs."
260089,"The file is not a valid application.","None Required."
260088,"The JMS/JDBC descriptor is not present in the archive.","Ensure all descriptors are in place."
260087,"The named element is missing.","Correct errors in weblogic-extensions.xml descriptor."
260086,"The configuration was saved","None required"
260085,"The descriptors don't need to be saved.","None required"
260084,"No information available.","No information available."
260083,"The path for the plan may have been incorrectly specified. If this is the first time the application is being configured this may not be a problem; the plan will be created.","Specify correct plan location as necessary."
260082,"Missing descriptor file","Place the necessary descriptor in the archive or its external configuration area"
260081,"The descriptor is invalid",None
260080,"Directory could not be created or is a file.","Specify a valid directory"
260079,"Sharing violation.","None required."
260078,"Check error message for specific problem.","None required."
260077,"Check error message for specific problem.","None required."
260076,"Module uses unsupported descriptor version.","Update the descriptor to the most current release level."
260075,"Module is already configured.","Configuration changes for this module must be made to the embedded configuration or via variable declarations."
260074,"Module is already configured.","Configuration changes for this module must be made to the embedded configuration or via variable declarations."
260073,"Internal error","None required"
260072,"DeploymentConfiguration.save was invoked","No information available."
260071,"DeploymentConfiguration.restore was invoked","No information available."
260070,"DeploymentConfiguration.saveDConfigBean was invoked","No information available."
260068,"DeploymentConfiguration.removeDConfigBean was invoked","No information available."
260067,"DeploymentConfiguration.restoreDConfigBean was invoked","No information available."
260066,"IO Failures",None
260065,"The deployment tool released the its deployment manager.","None required."
260064,"No information available.","No information available."
260063,"Error encountered during deployment.","Depends on specific error."
260062,"Error encountered during deployment.","Depends on specific error."
260061,"Invalid argument",None
260060,"Invalid argument",None
260057,"Invalid argument",None
260056,"Invalid argument",None
260055,"The document is invalid",None
260053,"Invalid argument",None
260052,"Invalid argument",None
260050,"Internal error",None
260049,"The uri used to register the descriptor is already in use.",None
260047,"Invalid application","Fix the application"
260043,"Missing configuration information","Modify app configuration."
260041,"Check log for further details",None
260040,"Invalid argument",None
260038,"Invalid argument",None
260037,"Invalid application descriptor in EAR","Fix application"
260036,"unsupported operation",None
260032,"Invalid request",None
260031,None,None
260030,"Invalid argument",None
260029,"Invalid argument",None
260028,"Invalid argument",None
260027,"Unsupported operation","Use DeploymentManager.enableModuleTargeting"
260026,Unknown,None
260025,"Check log for further details",None
260024,"Deployment failure",None
260023,"Deployment task was removed from system",None
260022,"No information available.","No information available."
260021,"No information available.","No information available."
260020,"No information available.","No information available."
260019,"No information available.","No information available."
260018,"Check log for further details",None
260017,"Task was removed from the system",None
260016,"Invalid argument",None
260015,"Invalid request",None
260014,"Invalid request",None
260013,"Invalid argument",None
260012,"Invalid argument",None
260011,"Internal error",None
260010,"Failed authorization",None
260009,"Internal error",None
260008,"Invalid argument",None
260007,None,None
260006,None,None
260005,None,None
260004,"Locale is incorrectly specified",None
260003,"Deployment tool allocated a disconnected deployment manager or released it.","Allocate a connected deployment manager."
260002,"Incorrect host/port used when attempting to allocate a deployment manager.",None
260001,"Invalid URI provided when allocating a deployment manager","None required"
260000,None,None
240005,"The Console has encountered a CSRF.","Take action based upon provided exception details."
240004,"The Console has encountered a critical error.","Review the message text to determine the appropriate action."
240003,"The Console has encountered an error, but the console may continue to run.","Review the error message text to determine the appropriate action."
240002,"The Console has encountered an error that is potentially harmful.","Review the warning message text to determine the appropriate action."
240001,"The Console logs informational messages about console usage.","No action is required."
240000,"Console debug is enabled.","No action is required."
224616,"Refer to the exception in the log message.","Contact Oracle support."
224615,"No information available.","No information available."
224614,"Refer to the exception in the log message.","Contact Oracle support."
224613,"No information available.","No information available."
224612,"No information available.","No information available."
224611,"No information available.","No information available."
224610,"No information available.","No information available."
224609,"No information available.","No information available."
224608,"No information available.","No information available."
224607,"No information available.","No information available."
224606,"No information available.","No information available."
224605,"No information available.","No information available."
224604,"No information available.","No information available."
224603,"No information available.","No information available."
224602,"No information available.","No information available."
224601,"No information available.","No information available."
224600,"No information available.","No information available."
224599,"No information available.","No information available."
224598,"No information available.","No information available."
224597,"No information available.","No information available."
224596,"No information available.","No information available."
224595,"No information available.","No information available."
224594,"No information available.","No information available."
224593,"No information available.","No information available."
224592,"No information available.","No information available."
224591,"No information available.","No information available."
224590,"No information available.","No information available."
224589,"No information available.","No information available."
224588,"No information available.","No information available."
224587,"No information available.","No information available."
224586,"No information available.","No information available."
224585,"No information available.","No information available."
224584,"No information available.","No information available."
224583,"No information available.","No information available."
224582,"No information available.","No information available."
224581,"No information available.","No information available."
224580,"Refer to the exception in the log message and SOAP message.","Contact Oracle support."
224579,"Refer to the exception in the log message.","Contact Oracle support."
224578,"No information available.","No information available."
224577,"No information available.","No information available."
224576,"Refer to the exception in the log message.","Contact Oracle support."
224575,"No information available.","No information available."
224574,"No information available.","No information available."
224573,"Refer to the exception in the log message.","Contact Oracle support."
224572,"Refer to the exception in the log message.","Contact Oracle support."
224571,"No information available.","No information available."
224570,"No information available.","No information available."
224569,"No information available.","No information available."
224568,"No information available.","No information available."
224567,"No information available.","No information available."
224566,"No information available.","No information available."
224565,"No information available.","No information available."
224564,"No information available.","No information available."
224563,"Refer to the exception in the log message.","Contact Oracle support."
224562,"Refer to the exception in the log message.","Contact Oracle support."
224561,"No information available.","No information available."
224560,"No information available.","No information available."
224559,"Refer to the exception in the log message.","Contact Oracle support."
224558,"Refer to the exception in the log message.","Contact Oracle support."
224557,"No information available.","No information available."
224556,"No information available.","No information available."
224555,"No information available.","No information available."
224554,"No information available.","No information available."
224553,"No information available.","No information available."
224552,"Refer to the exception in the log message.","Contact Oracle support."
224551,"Refer to the exception in the log message.","Contact Oracle support."
224550,"No information available.","No information available."
224549,"No information available.","No information available."
224548,"No information available.","No information available."
224547,"No information available.","No information available."
224546,"No information available.","No information available."
224545,"No information available.","No information available."
224544,"Refer to the exception in the log message.","Contact Oracle support."
224543,"No information available.","No information available."
224542,"No information available.","No information available."
224541,"No information available.","No information available."
224540,"No information available.","No information available."
224539,"No information available.","No information available."
224538,"No information available.","No information available."
224537,"No information available.","No information available."
224536,"No information available.","No information available."
224535,"No information available.","No information available."
224534,"Refer to the exception in the log message.","Contact Oracle support."
224533,"Refer to the exception in the log message.","Contact Oracle support."
224532,"Refer to the exception in the log message.","Contact Oracle support."
224531,"No information available.","No information available."
224530,"No information available.","No information available."
224529,"No information available.","No information available."
224528,"No information available.","No information available."
224527,"No information available.","No information available."
224526,"No information available.","No information available."
224525,"No information available.","No information available."
224524,"No information available.","No information available."
224523,"Refer to the exception in the log message.","Contact Oracle support."
224522,"No information available.","No information available."
224521,"No information available.","No information available."
224520,"No information available.","No information available."
224519,"No information available.","No information available."
224518,"No information available.","No information available."
224517,"No information available.","No information available."
224516,"No information available.","No information available."
224515,"No information available.","No information available."
224514,"No information available.","No information available."
224513,"No information available.","No information available."
224512,"No information available.","No information available."
224511,"No information available.","No information available."
224510,"No information available.","No information available."
224509,"No information available.","No information available."
224508,"No information available.","No information available."
224507,"Refer to the exception in the log message.","Contact Oracle support."
224506,"Refer to the exception in the log message.","Contact Oracle support."
224505,"No information available.","No information available."
224504,"No information available.","No information available."
224503,"No information available.","No information available."
224502,"No information available.","No information available."
224501,"Refer to the exception in the log message.","Contact Oracle support."
224500,"Refer to the exception in the log message.","Contact Oracle support."
224018,"A Port/Dispatch instance was created without specifying an error listener via the WsrmClient interface. Subsequently, a WS-RM sequence being managed on that Port/Dispatch instance encountered an error and could not notify the client of this error directly.","Add a ReliabilityErrorListener on the Port/Dispatch instance by calling WsrmClient.setErrorListener()."
224017,"A Port/Dispatch instance was created without specifying an 'identity' via the ClientIdentityFeature JAX-WS feature when RM requires such an identity.","Add a ClientIdentityFeature when creating your Port/Dispatch stub instance, and make sure that feature has its clientId field set to a unique, repeatable client ID."
224016,"An unexpected exception has occurred.","Contact technical support."
224015,"An RM sequence was negotiated using one version of the RM protocol, and a subsequent message was received indicating a different version.","Make sure all messages related to a given sequence use the same RM protocol version."
224014,"Youve called a WsrmClient method to interact with the sequence before calling (or getting a true result) from WsrmClient.isInitialized().","Please wait until you have completed a synchronous reliable invocation or have gotten true from WsrmClient.isInitialized before calling such a method."
224013,"A Port/Dispatch instance was used as if it referenced a reliable service, but the service is in fact not reliable (no WS-RM policy attached to it).","Make the target service reliable (by attaching WS-RM policy to it) or pick a different target service."
224012,"No sequence with the given identifier exists on the given side of the RM message exchange.","Specify a different sequence identifier in the protocol message or contact technical support."
224011,"An incoming request to the RM destination has failed a quality-of-service check (e.g. duplicate or out-of-order) and there is no ReplyTo address to which we can send a fault. Thus, we'll completely abort the processing of this request in order to indicate the failure to the sender.","Send requests according to the quality-of-service requirements of the service."
224010,"A null sequence (or a sequence that never has been added to the list of valid sequences) has been referenced in an update operation.","Contact technical support."
224009,"A null sequence (or a sequence that already has been added to the list of valid sequences) has been detected.","Contact technical support."
224008,"A null value was passed to some internal method taking a message identifier where that method does not accept null values.","Contact technical support."
224007,"A null value was passed to some internal method taking a sequence identifier where that method does not accept null values.","Contact technical support."
224006,"A CreateSequenceResponse message in response to a CreateSequence message that does not contain an Offer element must not itself contain an Accept element.","Contact the vendor that supplied the RM destination implementation (receiver of CreateSequence message) and indicate a protocol violation."
224005,"A protocol violation has occurred, and RM cannot identify the message ID of the CreateSequence message by looking at the CreateSequenceResponse message.","Contact the vendor that supplied the RM destination implementation (receiver of CreateSequence message) and indicate a protocol violation."
224004,"Runtime code on the service or receiving side of an RM sequence couldnt retrieve a policy.","Contact technical support."
224003,"Runtime code on the client or sending side of an RM sequence couldnt retrieve a policy.","Contact technical support."
224002,"Runtime code attempted to send a response after processing a response on the client-side protocol-specific back-channel. The back-channel can only support one message delivery, so we attempted, and failed, to send this secondary response via a new outbound connection. Because of this failure, the secondary response cannot be delivered.","Contact technical support."
224001,"An attempt was made to use or modify a sequence from the RM source side before that sequence has completed the RM handshake process (when the CreateSequenceResponse message arrives and is processed).","Retry the operation after the RM sequence has been properly initialized, and the CreateSequenceResponse message for the sequence has been processed."
224000,"A service or Dispatch instance was reused after a reliable sequence was created and completed on it. You should use a new service/Dispatch instance to avoid using the same saved sequence ID for a new sequence.","Use a new service/Dispatch instance before invoking more reliable operations after a prior sequence of invocations."
222515,"A Port/Dispatch instance was created without specifying an 'identity' via the ClientIdentityFeature JAX-WS feature when WS-MC requires such an identity.","Add a ClientIdentityFeature when creating your Port/Dispatch stub instance, and make sure that feature has its clientId field set to a unique, repeatable client ID."
222514,"An unexpected exception occurred during building of header.","Contact technical support."
222513,"MakeConnection messages must specify an Address element containing a MakeConnection anonymous URI","Contact technical support."
222512,"MakeConnection initiator not in a state where a response was expected.","Contact technical support."
222511,"The timer for the sending of MakeConnection messages cannot be reset.","Contact technical support."
222510,"Operation cannot be attempted when poll is in its current state.","Contact technical support."
222509,"Poll id cannot be null or a null string.","Contact technical support."
222508,"Both the Make Connection and Async Client Transport features have been specified; however, they are mutually exclusive.","Correct the list of features used."
222507,"There is no pending message list corresponding to the received MakeConnection anonymous URI.","Contact technical support."
222506,"The format of the faultTo address is not that of a MakeConnection anonymous URI.","Correct the faultTo address."
222505,"The supplied replyTo address is not a legal MakeConnection anonymous URI.","Correct the replyTo address."
222504,"Either or both of the replyTo and faultTo addresses are not MakeConnection anonymous URIs.","Correct the replyTo and/or faultTo addresses."
222503,"An error occurred reading a MakeConnection message.","Contact technical support."
222502,"There is no SOAP body in the message.","Contact technical support."
222501,"An error occurred reading the message's SOAP body.","Contact technical support."
222500,"An unexpected exception has occurred.","Contact technical support."
221105,"The conversation with the given name has been cancelled. This can occur if the conversation has timed out or has encountered some type of fatal error.","Look at and resolve the underlying exceptions that may be keeping this conversation from proceeding, or if the conversation seems to be proceeding normally, consider increasing the conversation or idle timeout values."
221104,"Youve asked for a request with an unknown conversation name and sequence number combination.","Pick a different conversation/sequence number, or create/add it before trying to look it up."
221103,"Youve asked for a request with an unknown message ID.","Pick a different message ID, or create/add it before trying to look it up."
221102,"Youve asked for a conversation with an unknown name.","Pick a different conversation name, or create/add it before trying to look it up."
221101,"Youve tried to create two or more conversation instances with the same name.","Pick a different conversation name, or look for an existing conversation before trying to create one."
221100,Unknown,"Contact Oracle support"
221006,"You configured an invalid type of queue for a logical store (via the RequestBufferingQueueJndiName or ResponseBufferingQueueJndiName properties). You must use Uniform Distributed Queues (recommended) or plain Queues. If you wish to take advantage of migration features of web services in a cluster, you must use Uniform Distributed Queues. Note, when using configuration wizard or WLST to apply the wls_webservice_jaxws.jar extension template, you must explicitly request the creation of Uniform Distributed Queues as described in the web services documentation. By default, the configuration wizard and WLST create Weighted Distributed Queues in a cluster.","Configure a Uniform Distributed Queue (or Queue) and provide this queues JNDI name to the logical store configuration (via the RequestBufferingQueueJndiName or ResponseBufferingQueueJndiName properties). Note, you can do this from the configuration wizard or WLST when applying the wls_webservice_jaxws.jar extension template, and the proper type and number of queues will be created automatically for you. See the web services documentation for more information on requesting Uniform Distributed Queues when using the template."
