error, Description
090093, Info: No pre-WLS 8.1 Keystore providers are configured for server arg0 for security realm arg1.
090094, Error: SSL cannot find or open the JDK cacerts keystore arg0 for security realm arg2 on server arg1.
090095, Error: SSL cannot instantiate the keystore arg1 on server arg0.
090096, Error: The MBeans configured for the Keystore provider on server arg0 for security realm arg1 are not Keystore MBeans.
090097, Error: The KeyManager class for private keys server arg0 for security realm arg1 could not be instantiated.
090098, Error: The JDK cacerts keystore arg0 for security realm arg2 on server arg1 cannot be accessed.
090099, Error: The JDK cacerts keystore arg0 for security realm arg2 on server arg1 cannot be accessed.
090100, Error: SSL was unable to get the arg0 Keystore provider from the provider arg1. Check that the provider arg1 has been correctly added to the J2EE provider list.
090101, Error: A keystore exception was thrown when the server arg1 attempted to load trusted CAs from the keystore file arg0.
090102, Error: SSL was unable to get the arg0 keystore from the provider arg1.
090103, Error: SSL was unable to find algorithm for the arg0 keystore
090104, Error: SSL was unable to load certificates into memory from the default keystore using the arg0 keystore type from the provider arg1.
090105, Error: No aliases were found in the JDK cacerts keystore or the trusted CA keystore on server arg0 for security realm arg1.
090106, Error: The Server was unable to find the SSL configuration on server arg0 for security realm arg1.
090107, Error: The Server was unable to find the private key on server arg0, security realm arg1. Make sure the private key keystore exists and contains the key entry under specified alias.
090108, Error: The server was unable to retrieve the private key aliased by arg2 from the configured keystore on server arg0 for security realm arg1. Private key password might be invalid.
090109, Error: The server was unable to find the configured private key on server arg0 in the file specified by the SSL Server Key File Name attribute.
090110, Error: The server was unable to find the configured certificate on server arg0 in the file specified by the Server Certificate File Name attribute arg1.
090111, Info: The Server loaded arg2 trusted CAs from the RootCA keystore on server arg0 in the file specified by the SSL ServerCertificateFileName attribute arg1.
090112, Critical: SSL is configured to require clients to present their certificates, however, no trusted certificates have been loaded. The trusted certificates are necessary for validating client certificates.
090113, Info: Loaded arg0 client trusted CAs from keystore.
090114, Warning: Configuration on server arg0 has problems; the server may fail to boot correctly if they are not corrected.
090115, Info: Created new Administrative User adminUserName
090116, Info: The server arg0 is using the private key it retrieved from keystore aliased by arg1.
090117, Warning: The Server arg0 has a 7.0 security realm, but found and will use the private key from the SSL ServerKeyFileName. The Server expected to find the private key in the configuredKeystore.
090118, Warning: LDIF template file arg1 was empty. The WebLogic provider arg0 has been bootstrapped but has not been initialized with any LDIF data.
090119, Warning: LDIF template file arg1 not found. The WebLogic provider arg0 has been bootstrapped but has not been initialized with any LDIF data.
090120, Warning: Cannot find the file specified by SSL.TrustedCAFileName arg0 on server arg1.
090121, Info: Loaded arg0 client root CAs from TrustedCA File.
090122, Info: Loaded arg0 client root CAs from Default Key Store file arg1
090123, Warning: Cannot access specified trusted CA file arg0 on server arg1
090124, Warning: Cannot read certificates from the trusted CA file arg0 on server arg1.
090125, Info: Loaded arg0 trusted certificates from keystore file specified on the command line: arg1
090126, Critical: Unable to read a valid version number for property arg0 from file arg1. Received exception arg2.
090127, Critical: Encountered a arg2 exception while attempting to read from file arg1 for WebLogic arg0 provider.
090128, Critical: LDIF update template file arg1 not found. The WebLogic provider arg0 has been bootstrapped but has not been updated with the latest required LDIF data.
090129, Info: Updating arg0 provider to version arg2 using LDIF update template file arg1.
090130, Critical: Failure arg3 while attempting to update the LDIF to version arg2 in file arg1 for WebLogic arg0 provider.
090131, Error: Could not create a keystoreType JDK keystore instance. Exception: exception
090132, Error: Could not open the keystore file pathname for read access. Exception: exception
090133, Error: Could not load a keystoreType keystore from the file pathname. Exception: exception
090134, Error: Could not load a keystoreType keystore from the file pathname. Exception: exception
090135, Error: Could not load a keystoreType keystore from the file pathname. Exception: exception
090136, Error: Could not open the keystore file pathname for write access. Exception exception
090137, Error: Could not store a keystoreType keystore in the file pathname. Exception: exception
090138, Error: Could not store a keystoreType keystore in the file pathname. Exception: exception
090139, Error: Could not store a keystoreType keystore in the file pathname. Exception: exception
090140, Error: Could not store a keystoreType keystore in the file pathname. Exception: exception
090141, Info: The WebLogic keystore provider provider in security realm realm cannot be used for private keys because its private key keystore was not configured.
090142, Info: The WebLogic keystore provider provider in security realm realm cannot be used for trusted (root) CAs because its trusted (root) CA keystore was not configured.
090143, Info: The WebLogic keystore provider provider in security realm realm cannot be used for private keys because its configured private key keystore file location does not exist.
090144, Info: The WebLogic keystore provider provider in security realm realm cannot be used for trusted (root) CAs because its configured trusted (root) CA keystore file location does not exist.
090145, Error: The WebLogic Keystore provider provider in security realm realm cannot be used for private keys because its private key type keystore could not be loaded from the file pathname.
090146, Error: The WebLogic Keystore provider provider in security realm realm cannot be used for trusted CAs because its trusted CA type keystore could not be loaded from the file pathname.
090147, Warning: Filename arg1 was not found in the CanonicalPathCache in the SupplementalPolicyObject.
090148, Warning: Failed to update security domain configuration
090149, Info: The server security configuration has been loaded from path
090150, Notice: Trusted certificate has expired: cert
090151, Notice: Trusted certificate is not yet valid: cert
090152, Alert: Demo trusted CA certificate is being used in production mode: cert The system is vulnerable to security attacks, since it trusts certificates signed by the demo trusted CA.
090153, Alert: Demo identity certificate is used in production mode: cert The system is vulnerable to security attacks, since the server private key is available to the public.
090154, Alert: Identity certificate has expired: cert
090155, Emergency: Identity certificate is not yet valid: cert
090156, Alert: Invalid identity certificate signature: cert
090157, Alert: Unable to verify certificate signature: cert
090158, Error: The server was unable to find the private key with alias arg0 at location arg1 on server arg2, security realm arg3. Make sure the keystore exists and contains the key entry under the specified alias.
090159, Error: The defaultKeystore file arg0 on server arg1 cannot be accessed.
090160, Info: Cannot find default trusted CA keystore file arg0 on server arg1.
090161, Notice: A failure occurred attempting to save LDIF for security provider arg0 using file arg1.
090162, Info: The arg0 provider has had its LDIF information saved in: arg1
090163, Notice: The arg0 provider did not import a duplicate LDAP entry: arg1
090164, Warning: Failed to load trusted certificates from keystore ksFileName of type ksType
090165, Alert: Cannot find identity keystore file fileName on server server
090166, Alert: Failed to load identity keystore of type ksType from file fileName on server server
090167, Alert: Cannot retrieve identity certificate and private key on server serverName, because the keystore entry alias is not specified.
090168, Alert: No identity key/certificate entry was found under alias alias in keystore ksFile on server serverName
090169, Notice: Loading trusted certificates from the ksType keystore file ksFile.
090170, Notice: Loading the private key stored under the alias alias from the ksType keystore file ksFile.
090171, Notice: Loading the identity certificate and private key stored under the alias alias from the ksType keystore file ksFile.
090172, Warning: No trusted certificates have been loaded. Server will not trust to any certificate it receives.
090173, Critical: The server''s trust keystore configuration (specified on the command line or in boot.properties) is incorrect.
090174, Critical: The trust keystore configuration specified on the command line or in boot.properties does not match the trust keystore configuration specified in config.xml.
090175, Error: Unrecognized Callback
090176, Error: Illegal null Subject passed as a parameter.
090177, Error: Invalid Message Digest requested, only MD5, SHA, and MD2 supported.
090178, Error: null Class
090179, Error: Null action
090180, Error: Could not convert AS to AU: as
090181, Error: attempting to modify a sealed subject
090182, Error: name is not a java.security.Principal
090183, Error: Got an NPE in AuthenticatedUser.hashCode() with actual type type.
090184, Error: Invalid Constraints
090185, Error: No CallbackHandler Specified
090186, Error: Error: Callback name Not Available
090187, Error: filename (Unable to delete)
090188, Error: Can't update a read only PermissionCollection.
090189, Error: CommoUtilsImpl.getProxy failed.
090190, Error: Error creating filename
090191, Error: Error writing realm contents to filename
090192, Error: couldn't create temporary file for filename , .new, directoryPath
090193, Error: Couldn't create temporary file for filename, .old, directoryPath
090194, Error: Couldn't clear temporary file filename
090195, Error: Couldn't rename fromFilename to toFileName
090196, Error: Couldn't delete filename
090197, Error: Can't find permission classname
090198, Error: No appropriate constructor for classname
090199, Error: Can't instantiate abstract class classname
090200, Error: No permission to instantiate constructor for classname
090201, Error: Incorrect argument for constructor for classname
090202, Error: Exception in constructor for classname
090203, Error: Trailing text after grant string.
090204, Error: Unexpected end of string in grant statement.
090205, Error: Expected "constantquot; but found "fnd".
090206, Error: Expected '"' but found "fnd".
090207, Error: Version mismatch. have have, expected expected
090208, Error: Corrupt path
090209, Error: Couldn't close stream: path
090210, Error: Error opening path
090211, Error: Managed servers cannot call getSalt(). Use Security MBean method instead.
090212, Error: Managed servers cannot call getEncryptedSecretKey(). Use the SecurityMBean method instead.
090213, Error: Error getting encryption service
090214, Error: Unsupported message type: type
090215, Error: Unrecognized Callback
090216, Error: No CallbackHandler Specified
090217, Error: Error: Callback name Not Available
090218, Error: decoding error: exc
090219, Error: Error decrypting Secret Key exc
090220, Error: rule ruleNum
090221, Error: Connection filter internal error!
090222, Error: unknown protocol "token"
090223, Error: bad netmask: "mask"
090224, Error: bad netmask: "mask"
090225, Error: bad netmask: "mask"
090226, Error: bad netmask: "mask"
090227, Error: bad action "action"
090228, Error: null filter
090229, Error: Attempt to set connection filter more than once
090230, Error: Zero length PEMInputStream
090231, Error: Security already configured
090232, Error: salt is not set
090233, Error: problem with connection filter rules
090234, Error: The Auditing Provider is not initialized.
090235, Error: Invalid Audit Severity
090236, Error: DefaultAuthenticatorImpl constructor failed: exc
090237, Error: Validation of old password failed
090238, Error: could not create User Name Mapper
090239, Error: Identity Assertion type cannot be null
090240, Error: Identity Assertion token cannot be null
090241, Error: Identity Assertion type of tokenType is not a configured active type
090242, Error: Client principal principalName is not trusted to assert identity
090243, Error: user Name Mapper class not configured - cannot assert identity
090244, Error: Unknown Identity Assertion type tokenType
090245, Error: No mapping for Identity User Name
090246, Error: Token not of type tokenType
090247, Error: Unable to verify username
090248, Error: Unrecognized Callback
090249, Error: Cursor is null
090250, Error: Cursor not found cursorName
090251, Error: haveCurrent error for cursor name cursorName
090252, Error: advance error for cursor name cursorName
090253, Error: close error for cursor name cursorName
090254, Error: name cannot be null
090255, Error: User or Group name
090256, Error: Error setting description for name
090257, Error: group cannot be null
090258, Error: max cannot be < 0
090259, Error: Group name
090260, Error: Error listing group members for groupName
090261, Error: wildcard cannot be null
090262, Error: Error listing groups groupNameWildCard
090263, Error: parent group cannot be null
090264, Error: member cannot be null
090265, Error: member cannot be parent group
090266, Error: group name cannot be null
090267, Error: Group groupName
090268, Error: Group name
090269, Error: Error adding group groupName
090270, Error: group cannot be same as member
090271, Error: Member memberName
090272, Error: Error adding member memberName to groupName
090273, Error: member cannot be group
090274, Error: Error removing member memberName from groupName
090275, Error: Error removing group groupName
090276, Error: Error removing group groupName invalid cursor
090277, Error: Error destroying provider:
090278, Error: Error listing member groups groupName
090279, Error: Error listing users userName
090280, Error: user cannot be null
090281, Error: user name cannot be null
090282, Error: password cannot be null
090283, Error: User userName
090284, Error: Group groupName
090285, Error: password must be at least minPassLen characters long
090286, Error: Error adding user userName
090287, Error: User userName
090288, Error: Invalid password for user userName
090289, Error: Error changing password for userName
090290, Error: Error removing user userName
090291, Error: type search scope (scope) not recognized
090293, Error: Error creating provider
090294, Error: could not get connection
090295, Error: caught unexpected exception
090296, Error: invalid URL url
090297, Error: No CallbackHandler Specified
090298, Error: No Delegate Specified
090299, Error: Username Not Supplied
090300, Error: Identity Assertion Failed: User userName does not exist
090301, Error: Password Not Supplied
090302, Error: Authentication Failed: User userName denied
090303, Error: Authentication Failed: User userName exc
090304, Error: Authentication Failed: User userName exc
090305, Error: Authentication Failed Getting Groups for User userName exc
090306, Error: Authentication Failed Getting Groups for User userName exc
090307, Error: DefaultAuthenticatorImpl constructor failed: exc
090308, Error: Validation of old password failed
090309, Error: null subject
090310, Error: Failed to create resource
090311, Error: Failed to set resource expression
090313, Error: policy removal error
090314, Error: Entitlement Engine unable to connect to the embedded LDAP server\nexc
090315, Error: DefaultAuthorizerImpl init failed: exc
090316, Error: null helper
090317, Error: bug in PredicateArgument
090318, Error: DefaultRoleMapperImpl init failed: exc
090319, Error: Unknown resource type: type
090320, Error: Failed to create role
090321, Error: Failed to set role expression
090322, Error: role removal error
090323, Error: Map cannot be modified
090324, Error: DefaultCredentialMapperImpl init failed: exc
090325, Error: No list available for the given cursor.
090326, Error: DefaultCredentialMapperImpl.listCredentials got LDAP exception
090327, Error: DefaultCredentialMapperImpl.getCurrentCredentialRemoteUsername failed: No such credentials list cursor available
090328, Error: DefaultCredentialMapperImpl.getCurrentCredentialRemotePassword failed: No such credentials list cursor available
090329, Error: DefaultCredentialMapperImpl.listMappings got LDAP exception
090330, Error: DefaultCredentialMapperImpl.getCurrentMappingWLSUsername failed: No such resource maps list cursor available
090331, Error: DefaultCredentialMapperImpl.getCurrentMappingRemoteUsername failed: No such resource maps list cursor available
090332, Error: DefaultCredentialMapperImpl.getRemoteUserName got LDAP exception
090333, Error: DefaultCredentialMapperImpl.getRemotePassword got LDAP exception
090334, Error: DefaultCredentialMapperImpl.setUserPasswordCredential got LDAP exception
090335, Error: DefaultCredentialMapperImpl.setUserPasswordCredentialMapping got LDAP exception
090336, Error: DefaultCredentialMapperImpl.removeUserPasswordCredential got LDAP exception
090337, Error: DefaultCredentialMapperImpl.removeUserPasswordCredentialMapping got LDAP exception
090338, Error: cannot create file output stream at present path
090339, Error: Couldn't create file output stream path
090340, Error: Couldn't create temporary file to move old path .log into
090341, Error: Couldn't delete temp file in which to move old Audit log
090342, Error: Couldn't rename from to to
090343, Error: Couldn't delete Audit log file
090344, Error: A valid security realm name must be specified when initializing
090345, Error: Exception: Auditor.initialize, Invalid or missing Auditor configuration Mbean
090346, Error: Exception: Auditor.initialize
090347, Error: Auditor not yet initialized
090348, Error: No AuthorizerMBeans and no AdjudicatorMBean provided
090349, Error: Need at least one AuthorizerMBean
090350, Error: The RoleManager must be initialized prior to initializing an Authorization Manager
090351, Error: Problem getting the AccessDecision
090352, Error: Problem getting the Adjudicator
090353, Error: Only AuthorizerMBeans and a AdjudicatorMBean may be passed to initialize
090354, Error: No DeployableAuthorizationProvider configured that have PolicyDeploymentEnabled set to true
090355, Error: Multiple Authorization Providers but No AdjudicatorMBean provided
090356, Error: No AuthorizerMBean provided
090357, Error: Calling isProtectedResource before the AuthorizationManager is initialized
090358, Error: Required parameter not supplied to isAccessAllowed
090359, Error: Required parameter not supplied to isProtectedResource
090360, Error: deployableAuthorizationProvider is no longer configured
090361, Error: Exception: CredentialManager.initialize, Invalid or missing CredentialMapperMBean Mbean
090362, Error: Exception: CredentialManager.initialize failed
090363, Error: CredentialManager not yet initialized
090364, Error: Exception: CredentialManager.getCredentials, credentialsType = null
090365, Error: LoginModule error: loginModuleName loginModuleName
090366, Error: LoginModule error: null delegateLoginModuleName
090367, Error: This method not yet implemented
090368, Error: MBeans are not instances of Keystore MBean
090369, Error: Problem instantiating Keystore provider
090370, Error: No AuthenticationProviderMBean passed to initialize. Invalid configuration.
090371, Error: Problem instantiating Authentication Provider exc
090372, Error: No CallbackHandler Supplied
090373, Error: Authentication Failed: User userName is locked out due to too many invalid login attempts
090374, Error: No configured Authentication providers
090375, Error: Null TokenType Parameter
090376, Error: Null Token Parameter
090377, Error: Identity Assertion Failed, exc
090378, Error: Identity Assertion Handler Failed, exc
090379, Error: Identity Assertion Handler Failed, UserName Not Supplied
090380, Error: Identity Assertion Failed, Unsupported Token Type: tokenType
090381, Error: No ChallengeIdentityAsserter configured for token type [tokenType]
090382, Error: No ChallengeIdentityAsserter available for token type [tokenType]
090383, Error: Configuration Error, PrincipalValidator Mapping Error: baseName
090384, Error: No Provider MBeans
090385, Error: Non-RoleMapperMBean passed.
090386, Error: Problem getting the RoleMapper
090387, Error: No DeployableRoleProvider configured that have RoleDeploymentEnabled set to true
090388, Error: No back pointer to the RealmMBean from the ProviderMBean
090389, Error: RoleManager not yet initialized
090390, Error: DeployableRoleProvider is no longer configured
090391, Error: Null User Identity
090392, Error: SecurityServiceManager not yet initialized.
090393, Error: Security service not yet initialized: type
090394, Error: Must specify a Security realm
090395, Error: Must specify a SecurityService.ServiceType
090396, Error: Security Realm realm does not exist
090397, Error: Principal set does not contain a RealmAdapterUser
090398, Error: Invalid Subject: subject
090399, Error: Security Services Unavailable
090400, Error: Set of Security Credential Failed
090401, Error: Can't look up information for non-default security realm.
090402, Critical: Authentication denied: Boot identity not valid; The user name and/or password from the boot identity file (boot.properties) is not valid. The boot identity may have been changed since the boot identity file was created. Please edit and update the boot identity file with the proper values of username and password. The first time the updated boot identity file is used to start the server, these new values are encrypted.
090403, Critical: Authentication for user userName denied
090404, Critical: User userName is not permitted to boot the server; The server policy may have changed in such a way that the user is no longer able to boot the server.Reboot the server with the administrative user account or contact the system administrator to update the server policy definitions.
090405, Error: Can only initialize the SecurityService once
090406, Error: Failure loading security MBeans from path
090407, Error: Invalid security configuration : no default security realm found.
090408, Error: Security Configuration Unavailable
090409, Error: Security Credential Unavailable: A credential value must be supplied for the Security configuration
090410, Error: Invalid security realm name: realmName
090411, Error: Security Realm [realmName] improperly configured
090412, Error: Failed to initialize realm: realmName
090413, Error: No Realm MBean found. Bad configuration, unable to initialize Security.
090414, Error: Need to configure at least one RoleMapperMBean
090415, Error: Need to configure at least one AuthorizerMBean
090416, Error: Cannot configure the Keystore providers : exc
090417, Error: Cannot configure SSL; invalid parameter : exc
090418, Error: Cannot configure SSL; permission denied exc
090419, Error: Subject "userName" is not the kernel identity
090420, Error: Security provider error: providerClassName className creation exception.
090421, Error: Security provider error: providerClassName className not found.
090422, Error: Loaded identity certificate but failed to convert it to javax.security.cert.X509Certificate
090423, Error: The Server serverName was unable to find the server certificate file fileName specified by the SSL ServerCertificateFileName attribute.
090424, Error: Cannot find the private key with alias aliasName in the keystore at location location
090425, Error: Cannot read private key file keyFileName. Exception is exc
090426, Error: Cannot read private key from file keyFileName. Make sure password specified in environment property propertyName is valid. Exception is exc
090427, Error: The server serverName was unable to find private key in the file keyFileName specified by the SSL ServerKeyFileName attribute.
090428, Error: Cannot call setJava2SecurityMode more than once.
090429, Error: Not in a WebLogic server context.
090430, Error: UserLockoutImpl constructor failed: exc
090431, Error: Received a null user name
090432, Error: Hashtable has the key but can't get the entry
090433, Error: Inconsistent InvalidLogin record
090434, Error: Enumerator returned a null element for a key
090435, Error: Subject subject does not have permission to unlock user userName in security realm realmName
090436, Error: Inconsistent hashtable - key exists but not value
090437, Error: Security Service Unavailable
090438, Error: Invalid Parameter
090439, Error: Invalid File Parameter file specified for Admin Account creation.
090440, Error: Encryption Error
090441, Error: Internal Error
090442, Error: location null or empty
090443, Error: null file
090444, Error: null keystore
090445, Error: null or empty passphrase
090446, Error: Invalid Base Template
090447, Error: invalid flag value value
090448, Error: Invalid Format: format
090449, Error: Invalid Constraints
090450, Error: Invalid name supplied
090451, Error: Unable to read file: fileName
090452, Error: Import only available on Admin server
090453, Error: Import File Error
090454, Error: No base data to export
090455, Error: Export File Error
090456, Error: Three arguments are required
090457, Error: Type must be group or user value is value
090458, Error: Signature type cannot be null
090459, Error: Signed by cannot be null
090460, Error: SSL context wrapper configuration error exc
090461, Error: Class not Found exc
090462, Error: Illegal access on context wrapper class exc
090463, Error: Instantiation exception on context wrapper class exc
090464, Error: Problem accessing private key
090465, Error: Problem with certificate chain exc
090466, Error: Assertion: illegal keystores value: value
090467, Error: problem with connection filter
090468, Error: Set the AuditProviderClassName attribute to a valid value
090469, Error: Invalid file format
090470, Critical: Inconsistent security configuration, the arg0 security realm has been configured to use security data in deployment descriptors but no arg1 has been configured with deployment enabled.
090471, Critical: Unable to deploy security information from a deployment descriptor. The arg0 security realm has been configured to use security data in deployment descriptors but no arg1 has been configured with deployment enabled.
090472, Critical: Unable to undeploy security information from a deployment descriptor. The arg0 security realm has been configured to use security data in deployment descriptors but no arg1 has been configured with deployment enabled.
090473, Error: DefaultAuthorizerImpl search failed: exc
090474, Error: Unable to create temporary file: msg
090475, Warning: Plaintext data for protocol protocol was received from peer peer instead of an SSL handshake.
090476, Warning: Invalid/unknown SSL header was received from peer peer during SSL handshake.
090477, Warning: Certificate chain received from peer was not trusted causing SSL handshake failure.
090478, Warning: Certificate chain received from peer was not signed properly causing SSL handshake failure.
090479, Warning: Certificate chain received from peer failed date validity checks.
090480, Warning: SSL alert (AlertType) received from peer. Check the peer SSL configuration, or enable SSL debug tracing on the peer.
090481, Warning: NO_CERTIFICATE alert was received from peer. Verify the SSL configuration has a proper SSL certificate chain and private key specified.
090482, Warning: BAD_CERTIFICATE alert was received from peer. Check the peer to determine why it rejected the certificate chain (trusted CA configuration, hostname verification). SSL debug tracing may be required to determine the exact reason the certificate was rejected.
090483, Warning: CERTIFICATE_REVOKED alert was received from peer. The certificate chain sent to the peer was rejected because it was revoked by the certificate authority.
090484, Warning: CERTIFICATE_EXPIRED alert was received from peer. A certificate in the certificate chain expired or is not yet valid, or the peer and local machine have a date/time mismatch.
090485, Warning: CERTIFICATE_UNKNOWN alert was received from peer. The peer has an unspecified issue with the certificate. SSL debug tracing should be enabled on the peer to determine what the issue is.
090486, Warning: UNSUPPORTED_CERTIFICATE alert was received from peer. The peer rejected a certificate in the chain because it was an unsupported type. Verify all certificates in the chain are valid X.509 RSA certificates.
090487, Warning: UNKNOWN_CA alert received from peer. The peer is rejecting the certificate chain as being untrusted or incomplete.
090488, Warning: PROTOCOL_VERSION alert received from peer. Check that the peer supports the same level of the SSL/TLS protocol being used (SSL V3.0 and TLS V1.0)
090489, Warning: NO_RENEGOTIATION alert was received from peer. The peer does not support renegotiation.
090490, Warning: ACCESS_DENIED alert received from peer. The peer recognizes the certificate chain but a higher-level access control is rejecting it.
090491, Warning: INSUFFICIENT_SECURITY alert received from peer. The peer requires stronger ciphers to be supported.
090492, Warning: UNEXPECTED_MESSAGE alert received from peer.
090493, Warning: BAD_RECORD_MAC alert received from peer. The peer indicated it received a record with an invalid MAC.
090494, Warning: DECRYPTION_FAILED alert received from peer. The peer detected errors when decrypting.
090495, Warning: RECORD_OVERFLOW alert received from peer. The peer received an invalid record with a length greater than allowed.
090496, Warning: DECOMPRESSION_FAILURE alert received from peer. The peer was unable to decompress data.
090497, Warning: HANDSHAKE_FAILURE alert received from peer. Check both sides of the SSL configuration for mismatches in supported ciphers, supported protocol versions, trusted CAs, and hostname verification settings.
090498, Warning: ILLEGAL_PARAMETER alert received from peer.
090499, Warning: DECODE_ERROR alert received from peer.
090500, Warning: DECRYPT_ERROR alert received from peer. A decryption error occurred during the SSL handshake.
090501, Warning: EXPORT_RESTRICTION alert received from peer.
090502, Warning: INTERNAL_ERROR alert received from peer. Check for unrelated failures such as insufficient resources.
090503, Warning: The public key from the configured server certificate and the configured server private key do not match.
090504, Warning: Certificate chain received from peer failed hostname verification check. Certificate contained certName but check expected expectedName
090505, Warning: No certificate chain was received from peer, hostname verification check failed.
090506, Warning: Unspecified exception occurred handling hostname verification for peer.
090507, Warning: Unspecified exception occurred converting certificates from peer to legacy format during trust validation.
090508, Warning: Certificate chain received from peer was incomplete.
090509, Error: The SSL ListenPort attribute port cannot be the same as the non-secure ListenPort for the server.
090510, Error: Error: username not specified
090511, Info: The following exception has occurred: \n
090512, Critical: The WebLogic Auditing provider failed to register to listen for AuditorMBean attribute change notifications
090513, Error: ServerIdentity failed validation, downgrading to anonymous.
090514, Info: The server certificate chain has settings which might cause it to be rejected by peers during SSL handshaking, no action is required unless peers are rejecting the certificate chain.
090515, Info: The certificate chain could not be completely checked for issues which could cause it to be rejected by a peer during SSL handshaking, no action is required unless peers are rejecting the certificate chain.
090516, Info: The arg0 provider has preexisting LDAP data.
090517, Error: group memberGroupName cannot be added to group groupName since groupName is already a member of memberGroupName
090518, Critical: Could not decrypt the attributeName attribute value of attributeValue from the file filename. If you have copied an encrypted attribute from boot.properties from another domain into filename, change the encrypted attribute to its cleartext value then reboot the server. The attribute will be re-encrypted. Otherwise, change all encrypted attributes to their cleartext values, then reboot the server. All encryptable attributes will be re-encrypted. The decryption failed with the exception exceptionText.
090519, Warning: The realm realm is not properly configured. Follow the directions in the following errors to correctly configure the realm.
090520, Warning: The realm realm does not have an authenticator configured. To correct the problem, configure an authenticator.
090521, Warning: The realm realm does not have a role mapper configured. To correct the problem, configure a role mapper.
090522, Warning: The realm realm does not have a deployable role mapper configured. To correct the problem, configure a deployable role mapper.
090523, Warning: None of the deployable role mappers in realm realm has deployments enabled. To correct the problem, enable deployments in one of the deployable role mappers.
090524, Warning: The realm realm does not have an authorizer configured. To correct the problem, configure an authorizer.
090525, Warning: The realm realm does not have a deployable authorizer configured. To correct the problem, configure a deployable authorizer.
090526, Warning: None of the deployable authorizers in realm realm has deployments enabled. To correct the problem, enable deployments in one of the deployable authorizers.
090527, Warning: The realm realm does not have a credential mapper configured. To correct the problem, configure a credential mapper.
090528, Warning: The realm realm does not have a deployable credential mapper configured. To correct the problem, configure a deployable credential mapper.
090529, Warning: None of the deployable credential mappers in realm realm has deployments enabled. To correct the problem, enable deployments in one of the deployable credential mappers.
090530, Warning: The realm realm has more than one identity asserter configured with the token type activeType selected as an active type. To correct the problem, decide which of the identity asserters should handle this token type, and set it as an active type in that identity asserter, and unset it as an active type for all the other identity asserters.
090531, Warning: The realm realm has multiple authorizers but no adjudicator. To correct the problem, configure an adjudicator.
090532, Warning: The realm realm has a realm adapter adjudicator but no realm adapter authorizer. To correct the problem, configure a realm adapter authorizer.
090533, Warning: The realm realm has a realm adapter adjudicator but no default authorizer. To correct the problem, configure a default authorizer.
090534, Warning: The realm realm has a realm adapter adjudicator but multiple default authorizers. To correct the problem, remove all the default authorizers except one.
090535, Warning: The realm realm has a realm adapter adjudicator but is using an authorizer which is neither a realm adapter authorizer nor a default authorizer. To correct the problem, remove all authorizers except the realm adapter authorizer and the default authorizer.
090536, Warning: The realm realm has multiple realm adapter authorizers. To correct the problem, remove all the realm adapter authorizers except one.
090537, Warning: The realm realm has multiple realm adapter authenticators. To correct the problem, remove all the realm adapter authenticators except one.
090538, Warning: The realm realm has a realm adapter authorizer but no realm adapter authenticator. To correct the problem, configure a realm adapter authenticator.
090539, Warning: The realm realm has keystore configured that is not a default keystore. To correct the problem, remove the non-default keystore.
090540, Warning: The realm realm has more than one default keystore configured for trusted CAs. To correct the problem, ensure that only one default keystore provider has its root CA keystore location configured.
090541, Warning: The realm realm has more than one default keystore configured for private keys. To correct the problem, ensure that only one default keystore provider has its private key keystore location configured.
090542, Warning: Certificate chain received from peer was not trusted causing SSL handshake failure. Check the certificate chain to determine if it should be trusted or not. If it should be trusted, then update the client trusted CA configuration to trust the CA certificate that signed the peer certificate chain. If you are connecting to a WLS server that is using demo certificates (the default WLS server behavior), and you want this client to trust demo certificates, then specify -Dweblogic.security.TrustKeyStore=DemoTrust on the command line for this client.
090543, Warning: Certificate chain received from peer was incomplete. Check the peer certificate chain to determine if it should be trusted or not. If it should be trusted, then update the client trusted CA configuration to trust the CA that signed the certificate chain. If the chain was incomplete, correct the chain. If you are connecting to a WLS server that is using demo certificates (the default WLS server behavior), and you want this client to trust demo certificates, then specify -Dweblogic.security.TrustKeyStore=DemoTrust on the command line for this client.
090544, Error: No search filter supplied
090545, Error: DefaultRoleMapperImpl search failed: exc
090546, Critical: The server is configured to use custom identity and command line trust, but either demo trust or no trust was specified on the command line or in boot.properties.
090547, Warning: The certificate chain received from peer contained a V3 CA certificate which had basic constraints which were not marked critical, this is being rejected due to the strict enforcement of basic constraints.
090548, Warning: The certificate chain received from peer contained a V3 CA certificate which was missing the basic constraints extension
090549, Warning: The certificate chain received from peer contained a V3 CA certificate which did not indicate it really is a CA.
090550, Warning: The certificate chain received from peer contained a V3 CA certificate which indicated a certificate chain path length in the basic constraints that was exceeded.
090551, Warning: The certificate chain received from peer contained a V3 CA certificate which could not be converted to be checked for basic constraints.
090552, Warning: The public and private key could not be checked for consistency.
090553, Warning: Invalid system property value: property=value
090554, Error: Set the RealmClassName attribute of the BasicRealm name used by the CachingRealm to a valid value
090555, Error: The DefaultCredentialMapper could not get credentials. The requestor is requestor. The initiator is initiator. The resource is resource. The exception is throwable.
090556, Error: The DefaultCredentialMapper could not deploy a credential mapping. The resource is resource. The initiating principal is initiatingPrincipal. The eis user name is eisUsername. The exception is throwable.
